"Description","Colony","type1","type3","mitochondrial","species"
21302,195,NA,NA,NA,NA
21305,196,99.87,98.03,"type1","P.meandrina"
21308,197,99.87,98.03,"type1","P.meandrina"
21311,198,99.88,98.19,"type1","P.meandrina"
21313,199,NA,NA,NA,NA
21315,185,99.87,98.03,"type1","P.meandrina"
21318,186,99.88,98.19,"type1","P.meandrina"
21321,187,99.87,98.03,"type1","P.meandrina"
21324,188,99.88,98.19,"type1","P.meandrina"
21329,189,98.03,99.61,"type3","P.verrucosa"
21331,155,99.88,98.19,"type1","P.meandrina"
21334,156,99.88,98.19,"type1","P.meandrina"
21336,157,99.19,97.17,"type1","P.meandrina"
21341,158,98.03,99.61,"type3","P.verrucosa"
21342,159,99.87,98.03,"type1","P.meandrina"
21346,165,99.88,98.19,"type1","P.meandrina"
21349,166,99.88,98.14,"type1","P.meandrina"
21352,167,98.19,99.64,"type3","P.verrucosa"
21356,168,99.88,98.19,"type1","P.meandrina"
21358,169,99.88,98.19,"type1","P.meandrina"
21360,175,98.19,99.64,"type3","P.verrucosa"
21364,176,99.86,97.97,"type1","P.meandrina"
21367,177,99.87,98.03,"type1","P.meandrina"
21369,178,99.88,98.14,"type1","P.meandrina"
21372,179,98.19,99.64,"type3","P.verrucosa"
21375,200,99.87,98.03,"type1","P.meandrina"
21378,201,99.88,98.14,"type1","P.meandrina"
21382,202,99.87,98.03,"type1","P.meandrina"
21385,203,99.87,98.03,"type1","P.meandrina"
21387,204,99.87,98.03,"type1","P.meandrina"
21390,225,98.03,99.61,"type3","P.verrucosa"
21393,226,99.87,98.03,"type1","P.meandrina"
21396,227,98.03,99.61,"type3","P.verrucosa"
21399,228,98.16,99.63,"type3","P.verrucosa"
21402,229,98.19,99.64,"type3","P.verrucosa"
21405,230,98.03,99.61,"type3","P.verrucosa"
21408,231,99.87,98.03,"type1","P.meandrina"
21411,232,98.19,99.64,"type3","P.verrucosa"
21414,233,99.88,98.19,"type1","P.meandrina"
21417,234,99.87,98.03,"type1","P.meandrina"
21420,205,98.03,99.61,"type3","P.verrucosa"
21423,206,NA,NA,NA,NA
21426,207,NA,NA,NA,NA
21429,208,98.03,99.61,"type3","P.verrucosa"
21432,209,99.87,98.03,"type1","P.meandrina"
21435,210,98.03,99.61,"type3","P.verrucosa"
21438,211,98.19,99.64,"type3","P.verrucosa"
21441,212,99.88,98.19,"type1","P.meandrina"
21444,213,98.19,99.64,"type3","P.verrucosa"
21447,214,98.07,99.61,"type3","P.verrucosa"
21450,215,99.88,98.13,"type1","P.meandrina"
21453,216,98.03,99.61,"type3","P.verrucosa"
21456,217,99.87,98.03,"type1","P.meandrina"
21459,218,98.19,99.64,"type3","P.verrucosa"
21462,219,99.88,98.19,"type1","P.meandrina"
21465,220,98.03,99.61,"type3","P.verrucosa"
21468,221,98.19,99.64,"type3","P.verrucosa"
21471,222,NA,NA,NA,NA
21474,223,98.03,99.61,"type3","P.verrucosa"
21477,224,98.03,99.61,"type3","P.verrucosa"
